Time,PositionX,PositionY,PositionZ,OrientationX,OrientationY,OrientationZ,OrientationW
64.18478,0.08853412,1.100187,6.538201,0.3424614,-0.02042175,0.04243229,0.9383511
64.19578,0.08850348,1.100096,6.538323,0.3426817,-0.02057713,0.04250844,0.9382638
64.20665,0.08840334,1.100083,6.53846,0.3427012,-0.02076929,0.04255547,0.9382503
64.2183,0.08833301,1.100134,6.538595,0.3426512,-0.02093717,0.04260574,0.9382625
64.2289,0.08823395,1.100196,6.538765,0.3423817,-0.02106317,0.04257797,0.9383594
64.24035,0.08823776,1.100249,6.53898,0.3421473,-0.02125263,0.04245488,0.9384462
64.25121,0.0881964,1.10035,6.539072,0.3418283,-0.02122271,0.04247921,0.938562
64.26257,0.0881809,1.10047,6.539178,0.3414494,-0.02121664,0.04241754,0.9387028
64.27367,0.08816159,1.100698,6.539311,0.3408391,-0.02130573,0.04236383,0.938925
64.28442,0.08815789,1.100886,6.539454,0.3401251,-0.02116312,0.04218131,0.9391953
64.29569,0.08820856,1.101091,6.539596,0.3392271,-0.02091019,0.0419816,0.9395346
64.30672,0.08829713,1.101324,6.539671,0.3383858,-0.02057117,0.04160292,0.9398623
64.31837,0.08845341,1.101597,6.53981,0.3375593,-0.02006758,0.04116451,0.9401896
64.3293,0.08867407,1.101884,6.53987,0.3369063,-0.0194112,0.04078894,0.9404539
64.34016,0.08884335,1.102118,6.539871,0.3363173,-0.01857141,0.04037228,0.9406997
64.3512,0.08889198,1.102416,6.539766,0.3356448,-0.01761764,0.03991865,0.9409775
64.36237,0.08910215,1.102685,6.5397,0.3348307,-0.01640597,0.03948791,0.9413076
64.37332,0.08932722,1.103046,6.539637,0.3340287,-0.01522485,0.03910209,0.9416285
64.38488,0.08958554,1.103399,6.539511,0.3329433,-0.01404196,0.03888519,0.9420401
64.39587,0.08982766,1.103804,6.539355,0.3320123,-0.0127628,0.03864271,0.9423968
64.40662,0.09013581,1.104301,6.539122,0.3309457,-0.01142221,0.03854978,0.9427929
64.41818,0.09043539,1.104844,6.538882,0.329567,-0.01000112,0.03853984,0.9432923
64.42944,0.09071887,1.105466,6.538665,0.3279506,-0.008461287,0.03842391,0.9438753
64.43996,0.09099281,1.106138,6.538439,0.3257771,-0.006860325,0.03843528,0.9446402
64.45152,0.09129596,1.106971,6.538358,0.3229574,-0.00511507,0.03851289,0.9456158
64.46234,0.09154093,1.10787,6.538208,0.3197394,-0.003523811,0.03863144,0.9467111
64.47338,0.09177935,1.108937,6.538102,0.3159193,-0.002049647,0.03883066,0.9479889
64.48457,0.09199107,1.110088,6.53797,0.3116444,-0.0007518632,0.0389684,0.9493991
64.49673,0.09217286,1.111324,6.537768,0.3072114,0.0002682754,0.03906567,0.9508391
